"The Slider has been saved successfully.","The Slider has been saved successfully."
"The banner has been saved successfully.","The banner has been saved successfully."
"Themes","Themes"
"This Banner no longer exists.","This Banner no longer exists."
"This slider no longer exists.","This slider no longer exists."
"Title","Title"
"Touch Drag","Touch Drag"
"Type","Type"
"Unable to find item to save","Unable to find item to save"
"Use Css","Use Css"
"Variable font sizes","Variable font sizes"
"Vertical","Vertical"
"Vim bindings","Vim bindings"
"Wrong Slider specified.","Wrong Slider specified."
"XML","XML"
"Yes","Yes"
"backSlide","backSlide"
"bannerslider","bannerslider"
"fadeUp","fadeUp"
"goDown","goDown"
